Entity,Code,Year,"3.5.1 - Alcohol use disorders, 12-month prevalence (%) - SH_SUD_ALCOL - Both sexes"
Afghanistan,AFG,2016,0.4
Albania,ALB,2016,5.9
Algeria,DZA,2016,0.8
Andorra,AND,2016,5.9
Angola,AGO,2016,6
Antigua and Barbuda,ATG,2016,6.5
Argentina,ARG,2016,6.8
Armenia,ARM,2016,5.7
Australia,AUS,2016,4.4
Austria,AUT,2016,12
Azerbaijan,AZE,2016,6
Bahamas,BHS,2016,6.7
Bahrain,BHR,2016,1.6
Bangladesh,BGD,2016,0.8
Barbados,BRB,2016,6.7
Belarus,BLR,2016,18.8
Belgium,BEL,2016,8.1
Belize,BLZ,2016,7.3
Benin,BEN,2016,6.4
Bhutan,BTN,2016,2.1
Bolivia,BOL,2016,6.7
Bosnia and Herzegovina,BIH,2016,6
Botswana,BWA,2016,7.1
Brazil,BRA,2016,4.2
Brunei,BRN,2016,2.3
Bulgaria,BGR,2016,6.9
Burkina Faso,BFA,2016,1.8
Burundi,BDI,2016,6.8
Cambodia,KHM,2016,5.1
Cameroon,CMR,2016,7
Canada,CAN,2016,8
Cape Verde,CPV,2016,6.3
Central African Republic,CAF,2016,3.8
Chad,TCD,2016,0.7
Chile,CHL,2016,6
China,CHN,2016,4.4
Colombia,COL,2016,7
Comoros,COM,2016,0.7
Congo,COG,2016,2.1
Cook Islands,COK,2016,5.3
Costa Rica,CRI,2016,6.9
Cote d'Ivoire,CIV,2016,10
Croatia,HRV,2016,5.8
Cuba,CUB,2016,6.6
Cyprus,CYP,2016,6.9
Czechia,CZE,2016,6
Democratic Republic of Congo,COD,2016,5
Denmark,DNK,2016,7.5
Djibouti,DJI,2016,0.8
Dominica,DMA,2016,6.8
Dominican Republic,DOM,2016,6.8
Ecuador,ECU,2016,6.7
Egypt,EGY,2016,1.4
El Salvador,SLV,2016,6.2
Equatorial Guinea,GNQ,2016,6.8
Eritrea,ERI,2016,2.2
Estonia,EST,2016,12.2
Eswatini,SWZ,2016,7.1
Ethiopia,ETH,2016,2.5
Fiji,FJI,2016,5.4
Finland,FIN,2016,9.1
France,FRA,2016,7
Gabon,GAB,2016,6.9
Gambia,GMB,2016,1
Georgia,GEO,2016,4.6
Germany,DEU,2016,6.8
Ghana,GHA,2016,4.1
Greece,GRC,2016,6.1
Grenada,GRD,2016,6.6
Guatemala,GTM,2016,6.4
Guinea,GIN,2016,0.7
Guinea-Bissau,GNB,2016,1
Guyana,GUY,2016,7.2
Haiti,HTI,2016,6.9
Honduras,HND,2016,6.7
Hungary,HUN,2016,21.2
Iceland,ISL,2016,4.4
India,IND,2016,4.9
Indonesia,IDN,2016,0.8
Iran,IRN,2016,1
Iraq,IRQ,2016,0.4
Ireland,IRL,2016,8.5
Israel,ISR,2016,5.9
Italy,ITA,2016,1.3
Jamaica,JAM,2016,5.2
Japan,JPN,2016,3.4
Jordan,JOR,2016,0.4
Kazakhstan,KAZ,2016,6
Kenya,KEN,2016,4
Kiribati,KIR,2016,5.2
Kuwait,KWT,2016,0.4
Kyrgyzstan,KGZ,2016,5.9
Laos,LAO,2016,5.2
Latvia,LVA,2016,15.5
Lebanon,LBN,2016,8.7
Lesotho,LSO,2016,5.2
Liberia,LBR,2016,5.2
Libya,LBY,2016,0.3
Lithuania,LTU,2016,11
Luxembourg,LUX,2016,6.6
Madagascar,MDG,2016,2.6
Malawi,MWI,2016,3.5
Malaysia,MYS,2016,3
Maldives,MDV,2016,2.3
Mali,MLI,2016,0.8
Malta,MLT,2016,3.6
Mauritania,MRT,2016,0.4
Mauritius,MUS,2016,5.5
Mexico,MEX,2016,2.3
Micronesia (country),FSM,2016,5.3
Moldova,MDA,2016,6
Mongolia,MNG,2016,7.8
Montenegro,MNE,2016,6
Morocco,MAR,2016,0.4
Mozambique,MOZ,2016,3.2
Myanmar,MMR,2016,1.9
Namibia,NAM,2016,6.3
Nauru,NRU,2016,5.3
Nepal,NPL,2016,1.8
Netherlands,NLD,2016,1.5
New Zealand,NZL,2016,4
Nicaragua,NIC,2016,6.6
Niger,NER,2016,0.7
Nigeria,NGA,2016,0.6
Niue,NIU,2016,5.3
North Korea,PRK,2016,3.5
North Macedonia,MKD,2016,6
Norway,NOR,2016,7.2
Oman,OMN,2016,0.4
Pakistan,PAK,2016,0.4
Palau,PLW,2016,5.3
Panama,PAN,2016,6.8
Papua New Guinea,PNG,2016,5.3
Paraguay,PRY,2016,7
Peru,PER,2016,8.9
Philippines,PHL,2016,5.3
Poland,POL,2016,12.8
Portugal,PRT,2016,6.8
Qatar,QAT,2016,0.3
Romania,ROU,2016,2.8
Russia,RUS,2016,20.9
Rwanda,RWA,2016,7
Saint Kitts and Nevis,KNA,2016,6.6
Saint Lucia,LCA,2016,6.5
Saint Vincent and the Grenadines,VCT,2016,6.9
Samoa,WSM,2016,5.4
Sao Tome and Principe,STP,2016,6.4
Saudi Arabia,SAU,2016,0.3
Senegal,SEN,2016,0.7
Serbia,SRB,2016,5.9
Seychelles,SYC,2016,7.3
Sierra Leone,SLE,2016,3.5
Singapore,SGP,2016,1.1
Slovakia,SVK,2016,12.2
Slovenia,SVN,2016,13.9
Solomon Islands,SLB,2016,5.3
Somalia,SOM,2016,0.4
South Africa,ZAF,2016,7
South Korea,KOR,2016,13.9
Spain,ESP,2016,1.5
Sri Lanka,LKA,2016,3.1
Sudan,SDN,2016,1.3
Suriname,SUR,2016,6.9
Sweden,SWE,2016,11
Switzerland,CHE,2016,9.5
Syria,SYR,2016,0.6
Tajikistan,TJK,2016,0.9
Tanzania,TZA,2016,6.8
Thailand,THA,2016,5.4
Timor,TLS,2016,1.8
Togo,TGO,2016,9.5
Tonga,TON,2016,5.2
Trinidad and Tobago,TTO,2016,6.7
Tunisia,TUN,2016,0.6
Turkey,TUR,2016,4.8
Turkmenistan,TKM,2016,5.9
Tuvalu,TUV,2016,5.3
Uganda,UGA,2016,7.1
Ukraine,UKR,2016,6
United Arab Emirates,ARE,2016,0.7
United Kingdom,GBR,2016,8.7
United States,USA,2016,13.9
Uruguay,URY,2016,6.4
Uzbekistan,UZB,2016,5.9
Vanuatu,VUT,2016,5.2
Venezuela,VEN,2016,6.9
Vietnam,VNM,2016,5.4
Yemen,YEM,2016,0.4
Zambia,ZMB,2016,5.5
Zimbabwe,ZWE,2016,6.4
